,Brand,Model,Year_of_Manufacture,Fuel_Type,KMs_Driven,Location,Car_Age_Category,Price(in_Lakhs)
0,Mahindra,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,2022,Diesel,29705,Singasandra,New,26.95
1,Mahindra,XUV500 W7 AT,2018,Diesel,49131,Singasandra,Moderate,13.45
2,Tata,Nexon XZ Plus Diesel Dark Edition,2022,Diesel,12336,Singasandra,New,12.95
3,BMW,3 Series 320d Sport Line,2020,Diesel,44244,BTM Layout,Moderate,45.25
4,Maruti Suzuki,Ertiga ZXi AT,2021,Petrol,8412,Singasandra,Moderate,11.85
5,Tata,Nexon XMA,2020,Petrol,19361,Singasandra,Moderate,8.75
6,Maruti Suzuki,Ertiga ZXi AT,2019,Petrol,48486,Singasandra,Moderate,10.45
7,Tata,Nexon XZA Plus (S),2020,Petrol,35598,Singasandra,Moderate,10.5
8,Tata,Nexon XM,2017,Petrol,58047,Singasandra,Moderate,6.99
9,Mahindra,XUV500 W10 AT,2016,Diesel,76840,Singasandra,Old,12.99
10,Tata,Nexon XZA Plus,2020,Petrol,32901,Singasandra,Moderate,9.95
11,Maruti Suzuki,Ertiga VXi,2016,Petrol,38289,Singasandra,Old,7.95
12,Toyota,Fortuner 2.8 4x4 MT,2018,Diesel,51000,Hebbal,Moderate,31.99
13,Mahindra,XUV500 W10,2015,Diesel,77000,Hebbal,Old,11.7
14,Tata,Harrier XZ,2019,Diesel,56000,Adugodi,Moderate,14.4
15,Ford,EcoSport Titanium 1.5L Ti-VCT AT,2016,Petrol,18100,Adugodi,Old,7.29
16,Volkswagen,Vento Highline 1.2 (P) AT,2019,Petrol,48000,Adugodi,Moderate,9.41
17,Mahindra,Thar LX Hard Top Diesel MT 4WD,2023,Diesel,19000,Adugodi,New,18.45
18,Mahindra,XUV700 AX 7 Diesel AT AWD Luxury Pack 7 STR,2023,Diesel,9000,Binnamangala,New,27.25
19,Mahindra,Thar LX Hard Top Diesel MT 4WD,2023,Diesel,27409,BTM Layout,New,18.0
